Date,County,Primary Area of Practice,Activities in Medicine,Count of Physicians
7/1/20,Alameda,All Other Specialties,No Response,3
7/1/20,Alameda,All Other Specialties,Patient Care - 1-9 Hours,34
7/1/20,Alameda,All Other Specialties,Patient Care - 10-19 Hours,46
7/1/20,Alameda,All Other Specialties,Patient Care - 20-29 Hours,71
7/1/20,Alameda,All Other Specialties,Patient Care - 30-39 Hours,104
7/1/20,Alameda,All Other Specialties,Patient Care - 40+ Hours,194
7/1/20,Alameda,All Other Specialties,Patient Care - None,79
7/1/20,Alameda,Anesthesiology - Primary,No Response,1
7/1/20,Alameda,Anesthesiology - Primary,Patient Care - 1-9 Hours,2
7/1/20,Alameda,Anesthesiology - Primary,Patient Care - 10-19 Hours,5
7/1/20,Alameda,Anesthesiology - Primary,Patient Care - 20-29 Hours,11
7/1/20,Alameda,Anesthesiology - Primary,Patient Care - 30-39 Hours,29
7/1/20,Alameda,Anesthesiology - Primary,Patient Care - 40+ Hours,152
7/1/20,Alameda,Anesthesiology - Primary,Patient Care - None,14
7/1/20,Alameda,Cardiology - Primary,Patient Care - 1-9 Hours,4
7/1/20,Alameda,Cardiology - Primary,Patient Care - 10-19 Hours,5
7/1/20,Alameda,Cardiology - Primary,Patient Care - 20-29 Hours,3
7/1/20,Alameda,Cardiology - Primary,Patient Care - 30-39 Hours,13
7/1/20,Alameda,Cardiology - Primary,Patient Care - 40+ Hours,72
7/1/20,Alameda,Cardiology - Primary,Patient Care - None,6
7/1/20,Alameda,Dermatology - Primary,No Response,1
7/1/20,Alameda,Dermatology - Primary,Patient Care - 1-9 Hours,2
7/1/20,Alameda,Dermatology - Primary,Patient Care - 10-19 Hours,6
7/1/20,Alameda,Dermatology - Primary,Patient Care - 20-29 Hours,13
7/1/20,Alameda,Dermatology - Primary,Patient Care - 30-39 Hours,26
7/1/20,Alameda,Dermatology - Primary,Patient Care - 40+ Hours,17
7/1/20,Alameda,Dermatology - Primary,Patient Care - None,6
7/1/20,Alameda,Emergency Medicine - Primary,No Response,1
7/1/20,Alameda,Emergency Medicine - Primary,Patient Care - 1-9 Hours,13
7/1/20,Alameda,Emergency Medicine - Primary,Patient Care - 10-19 Hours,21
7/1/20,Alameda,Emergency Medicine - Primary,Patient Care - 20-29 Hours,80
7/1/20,Alameda,Emergency Medicine - Primary,Patient Care - 30-39 Hours,109
7/1/20,Alameda,Emergency Medicine - Primary,Patient Care - 40+ Hours,112
7/1/20,Alameda,Emergency Medicine - Primary,Patient Care - None,27
7/1/20,Alameda,Endocrinology - Primary,Patient Care - 1-9 Hours,2
7/1/20,Alameda,Endocrinology - Primary,Patient Care - 10-19 Hours,3
7/1/20,Alameda,Endocrinology - Primary,Patient Care - 20-29 Hours,3
7/1/20,Alameda,Endocrinology - Primary,Patient Care - 30-39 Hours,11
7/1/20,Alameda,Endocrinology - Primary,Patient Care - 40+ Hours,12
7/1/20,Alameda,Endocrinology - Primary,Patient Care - None,6
7/1/20,Alameda,Family Medicine - Primary,Patient Care - 1-9 Hours,26
7/1/20,Alameda,Family Medicine - Primary,Patient Care - 10-19 Hours,31
7/1/20,Alameda,Family Medicine - Primary,Patient Care - 20-29 Hours,78
7/1/20,Alameda,Family Medicine - Primary,Patient Care - 30-39 Hours,139
7/1/20,Alameda,Family Medicine - Primary,Patient Care - 40+ Hours,97
7/1/20,Alameda,Family Medicine - Primary,Patient Care - None,28
7/1/20,Alameda,Gastroenterology - Primary,Patient Care - 1-9 Hours,6
7/1/20,Alameda,Gastroenterology - Primary,Patient Care - 10-19 Hours,2
7/1/20,Alameda,Gastroenterology - Primary,Patient Care - 20-29 Hours,7
7/1/20,Alameda,Gastroenterology - Primary,Patient Care - 30-39 Hours,19
7/1/20,Alameda,Gastroenterology - Primary,Patient Care - 40+ Hours,34
7/1/20,Alameda,Gastroenterology - Primary,Patient Care - None,4
7/1/20,Alameda,General Practice - Primary,No Response,1
7/1/20,Alameda,General Practice - Primary,Patient Care - 1-9 Hours,14
7/1/20,Alameda,General Practice - Primary,Patient Care - 10-19 Hours,7
7/1/20,Alameda,General Practice - Primary,Patient Care - 20-29 Hours,9
7/1/20,Alameda,General Practice - Primary,Patient Care - 30-39 Hours,13
7/1/20,Alameda,General Practice - Primary,Patient Care - 40+ Hours,8
7/1/20,Alameda,General Practice - Primary,Patient Care - None,14
7/1/20,Alameda,General Surgery - Primary,No Response,2
7/1/20,Alameda,General Surgery - Primary,Patient Care - 1-9 Hours,6
7/1/20,Alameda,General Surgery - Primary,Patient Care - 10-19 Hours,6
7/1/20,Alameda,General Surgery - Primary,Patient Care - 20-29 Hours,2
7/1/20,Alameda,General Surgery - Primary,Patient Care - 30-39 Hours,5
7/1/20,Alameda,General Surgery - Primary,Patient Care - 40+ Hours,71
7/1/20,Alameda,General Surgery - Primary,Patient Care - None,11
7/1/20,Alameda,Infectious Disease - Primary,Patient Care - 1-9 Hours,4
7/1/20,Alameda,Infectious Disease - Primary,Patient Care - 10-19 Hours,4
7/1/20,Alameda,Infectious Disease - Primary,Patient Care - 20-29 Hours,5
7/1/20,Alameda,Infectious Disease - Primary,Patient Care - 30-39 Hours,6
7/1/20,Alameda,Infectious Disease - Primary,Patient Care - 40+ Hours,12
7/1/20,Alameda,Infectious Disease - Primary,Patient Care - None,4
7/1/20,Alameda,Internal Medicine - Primary,No Response,4
7/1/20,Alameda,Internal Medicine - Primary,Patient Care - 1-9 Hours,58
7/1/20,Alameda,Internal Medicine - Primary,Patient Care - 10-19 Hours,48
7/1/20,Alameda,Internal Medicine - Primary,Patient Care - 20-29 Hours,108
7/1/20,Alameda,Internal Medicine - Primary,Patient Care - 30-39 Hours,202
7/1/20,Alameda,Internal Medicine - Primary,Patient Care - 40+ Hours,332
7/1/20,Alameda,Internal Medicine - Primary,Patient Care - None,60
7/1/20,Alameda,Nephrology - Primary,Patient Care - 1-9 Hours,2
7/1/20,Alameda,Nephrology - Primary,Patient Care - 10-19 Hours,1
7/1/20,Alameda,Nephrology - Primary,Patient Care - 20-29 Hours,4
7/1/20,Alameda,Nephrology - Primary,Patient Care - 30-39 Hours,9
7/1/20,Alameda,Nephrology - Primary,Patient Care - 40+ Hours,48
7/1/20,Alameda,Nephrology - Primary,Patient Care - None,2
7/1/20,Alameda,Neurology - Primary,Patient Care - 1-9 Hours,4
7/1/20,Alameda,Neurology - Primary,Patient Care - 10-19 Hours,3
7/1/20,Alameda,Neurology - Primary,Patient Care - 20-29 Hours,5
7/1/20,Alameda,Neurology - Primary,Patient Care - 30-39 Hours,13
7/1/20,Alameda,Neurology - Primary,Patient Care - 40+ Hours,22
7/1/20,Alameda,Neurology - Primary,Patient Care - None,8
7/1/20,Alameda,No Response,No Response,253
7/1/20,Alameda,No Response,Patient Care - 1-9 Hours,43
7/1/20,Alameda,No Response,Patient Care - 10-19 Hours,61
7/1/20,Alameda,No Response,Patient Care - 20-29 Hours,138
7/1/20,Alameda,No Response,Patient Care - 30-39 Hours,252
7/1/20,Alameda,No Response,Patient Care - 40+ Hours,347
7/1/20,Alameda,No Response,Patient Care - None,106
7/1/20,Alameda,Obstetrics and Gynecology - Primary,Patient Care - 1-9 Hours,7
7/1/20,Alameda,Obstetrics and Gynecology - Primary,Patient Care - 10-19 Hours,11
7/1/20,Alameda,Obstetrics and Gynecology - Primary,Patient Care - 20-29 Hours,30
7/1/20,Alameda,Obstetrics and Gynecology - Primary,Patient Care - 30-39 Hours,62
7/1/20,Alameda,Obstetrics and Gynecology - Primary,Patient Care - 40+ Hours,137
7/1/20,Alameda,Obstetrics and Gynecology - Primary,Patient Care - None,21
7/1/20,Alameda,Oncology - Primary,No Response,1
7/1/20,Alameda,Oncology - Primary,Patient Care - 1-9 Hours,1
7/1/20,Alameda,Oncology - Primary,Patient Care - 10-19 Hours,2
7/1/20,Alameda,Oncology - Primary,Patient Care - 20-29 Hours,6
